Child,Adult,Electric,Racing,Mountain,Tricycle
95.5498,70.145,4.6859,0.2982,91.7547,18.7931
77.6643,42.469,55.6407,58.9823,65.6528,13.9644
91.1621,73.9572,7.134,59.4069,16.9737,25.8966
12.1487,14.4366,4.9966,80.8373,94.3124,9.0265
21.5347,22.3753,59.705,31.5336,41.5688,89.9284
91.6653,88.4944,80.4643,55.7182,30.1911,91.6734
49.2024,7.5987,90.7844,10.5307,72.8971,73.9439
61.8851,61.6828,4.0892,23.9793,17.0587,37.7586
43.6004,12.5832,43.2429,23.8974,96.6243,81.5062
19.029,1.7834,92.5672,6.6224,8.8112,23.5848
64.4239,67.4857,46.6614,94.6627,82.0004,39.9844
73.2854,18.4662,66.3306,82.2272,96.0653,85.2721
78.787,25.6838,58.7895,92.6361,43.0881,55.7502
19.9951,75.4359,89.6716,16.0322,20.9771,51.8752
93.1637,47.947,70.7304,96.3202,0.6442,19.2062
53.2385,8.9394,49.7259,96.9476,9.1521,26.6456
51.8989,4.721,3.8307,48.2413,53.445,79.1225
49.9181,80.1864,65.4639,93.5254,83.6919,65.9429
47.1907,44.911,43.2389,71.9507,32.5479,55.3599
29.2172,27.0576,11.1678,21.2523,78.5653,28.5806
66.6513,81.7349,74.7345,28.8223,43.9142,51.1077
38.978,38.0189,50.4509,29.7333,27.3498,37.4933
17.1496,61.0362,87.2834,47.0752,22.3694,43.1651
59.1355,15.651,22.962,15.0174,25.0718,73.0911
88.7947,34.282,20.6727,43.7559,80.3674,3.0332
75.071,34.4535,66.6766,62.8312,74.2892,34.5665
51.1133,70.2285,83.1316,65.6066,34.595,28.3612
50.1598,71.0825,14.2599,41.2682,10.582,78.7656
39.887,68.4585,13.2127,5.5708,90.9445,31.1286
25.6827,68.1121,8.7316,86.5682,38.0211,13.9364
89.3818,20.6536,43.6755,95.7331,71.3477,36.1283
45.0288,70.6139,72.9923,87.5552,56.541,50.9384
95.8596,63.1065,7.0891,21.6809,40.8527,56.8648
39.0555,41.6433,21.2908,74.9407,71.1549,91.0223
71.633,20.2134,35.7963,31.2605,38.7331,9.6493
65.8548,89.7949,63.9569,70.9007,7.9379,48.7925
32.2862,79.1359,68.6072,59.8176,61.8757,22.0365
81.3266,63.436,23.2106,74.9654,32.4928,7.9033
24.2723,79.87,40.5147,79.9115,54.1358,75.0542
53.4102,57.1049,55.0681,90.5193,24.5956,29.4393
18.5743,49.5615,77.6171,75.89,3.1815,36.5042
63.942,33.4359,91.3519,9.8148,61.7496,13.5013
41.6329,47.6978,51.4192,78.7947,41.4057,75.8397
90.4046,58.8259,55.1626,44.4595,25.3492,39.4434
37.3339,56.4295,32.0644,62.9106,22.2249,20.7114
39.3962,3.3079,33.1648,7.1952,14.8729,40.5841
60.9697,41.9902,43.9799,19.7913,85.3354,32.2156
51.4451,70.3391,58.4603,24.2869,43.4732,0.0913
24.6423,47.5316,90.4244,88.4691,19.0351,76.6506
93.7168,71.6866,2.9026,5.4804,72.9356,50.5387
59.0227,77.2009,66.5295,41.6896,52.1212,2.4018
70.6706,95.8732,87.0065,24.4258,71.3922,61.2602
23.118,38.1973,25.1476,20.6369,91.8094,48.3828
43.3147,62.1317,50.9579,80.5402,24.3045,30.6675
48.6812,72.0338,88.3205,85.28,13.59,81.9762
52.8926,44.2252,49.314,5.7053,54.5367,83.1965
43.9823,40.2245,11.7837,61.1027,69.2793,36.5045
28.3452,31.3284,70.4228,30.5362,64.9921,11.7857
18.5887,21.1595,41.5053,14.067,26.3599,93.1605
90.4265,49.0245,80.2973,68.5712,16.9739,76.5372
9.6784,81.9946,3.5902,46.0195,88.0259,65.1527
51.1132,61.706,35.8642,77.9744,87.6698,46.1674
54.3411,45.5719,38.2372,51.6497,32.6871,20.1395
60.4417,57.0247,74.5881,46.9772,59.9341,60.4167
73.9402,45.635,2.4369,52.1977,0.242,3.0413
62.4582,53.0096,16.9001,67.9261,5.5304,14.7828
77.9474,29.9255,45.9564,57.2225,11.3509,72.1497
69.7622,85.8353,66.839,16.0878,44.1484,90.7658
73.7919,80.5408,37.8707,12.2398,15.1522,89.2996
30.7005,21.0823,61.2385,38.8314,47.7117,94.2605
9.5021,26.9782,91.9962,86.8265,53.1532,76.7892
48.887,35.1101,28.4657,80.0107,95.3307,58.777
20.886,42.4244,31.5472,56.5771,19.6653,24.8823
37.6266,2.6489,29.5531,66.6856,12.1832,23.0455
94.8781,42.9716,69.0921,81.2376,70.6619,86.133
48.0027,45.9316,50.8168,1.3526,77.9694,23.3512
51.0616,35.0638,15.5328,22.5513,67.7323,89.6545
79.4707,24.5678,0.9707,91.9816,92.0792,96.1249
45.1863,3.3131,66.6493,93.209,7.7691,66.9605
1.1291,46.7307,57.8299,67.7257,83.0863,68.315
59.6597,19.9535,2.2595,57.6512,31.7604,82.4555
64.0286,1.198,11.5502,15.278,6.4337,17.5946
60.215,0.3718,87.8788,90.496,89.7997,70.8156
19.7731,71.8513,54.7581,2.952,52.3657,91.2603
89.151,45.7826,90.6603,33.4641,3.4626,53.8438
41.4468,57.3187,93.9321,12.2057,45.1132,80.0203
68.2645,11.3031,30.3985,78.6315,37.153,64.7829
69.0114,86.0927,46.9727,79.7186,25.8815,86.2089
33.3796,26.3773,35.672,86.7683,85.6122,61.0392
57.3952,91.5628,77.0446,4.0802,95.7504,52.7839
45.9235,48.4757,69.4318,26.7932,46.947,76.5633
25.596,60.5269,1.9541,74.1165,43.9116,47.1838
15.1049,0.6796,80.95,71.6695,75.0653,53.7157
9.3879,0.0,9.7811,0.0,88.5688,37.1671
68.0686,0.0,64.3773,0.0,42.2858,30.168
44.7465,0.0,66.2617,0.0,92.8694,23.5528
0.0,0.0,19.2716,0.0,66.5123,80.9522
0.0,0.0,20.6932,0.0,70.4076,81.6026
0.0,0.0,34.2643,0.0,57.4277,70.5162
0.0,0.0,18.7033,0.0,54.944,49.0614
0.0,0.0,70.8052,0.0,30.6804,48.7229
0.0,0.0,38.9893,0.0,40.4078,78.6959
0.0,0.0,92.1378,0.0,68.9501,1.626
0.0,0.0,75.2431,0.0,79.6577,4.6875
0.0,0.0,51.6751,0.0,7.9249,84.5079
0.0,0.0,95.1903,0.0,41.1057,77.6626
0.0,0.0,48.2317,0.0,35.7291,0.0
0.0,0.0,26.5402,0.0,0.0,0.0
0.0,0.0,70.3597,0.0,0.0,0.0
